iter	Passed	Remaining
0	138	138323
1	140	70191
2	142	47223
3	143	35799
4	145	28951
5	146	24328
6	148	21083
7	150	18680
8	152	16797
9	154	15264
10	155	14006
11	157	12957
12	159	12073
13	160	11307
14	162	10643
15	163	10057
16	164	9526
17	165	9051
18	167	8623
19	168	8243
20	169	7895
21	170	7577
22	171	7287
23	172	7022
24	173	6778
25	174	6552
26	175	6340
27	177	6150
28	178	5969
29	179	5800
30	180	5644
31	181	5493
32	182	5352
33	183	5222
34	184	5098
35	185	4979
36	187	4867
37	188	4760
38	189	4658
39	190	4561
40	191	4470
41	192	4384
42	193	4300
43	194	4220
44	195	4144
45	196	4071
46	197	4001
47	198	3934
48	199	3869
49	200	3809
50	201	3751
51	202	3695
52	203	3642
53	204	3590
54	206	3540
55	207	3491
56	208	3445
57	209	3400
58	210	3356
59	211	3314
60	212	3272
61	213	3232
62	214	3193
63	215	3155
64	216	3118
65	217	3084
66	219	3050
67	219	3010
68	220	2977
69	221	2945
70	222	2913
71	223	2883
72	224	2853
73	225	2824
74	226	2796
75	227	2768
76	228	2741
77	229	2715
78	230	2690
79	231	2666
80	232	2642
81	234	2620
82	235	2597
83	236	2575
84	236	2550
85	238	2529
86	238	2505
87	239	2485
88	240	2465
89	241	2446
90	243	2427
91	244	2409
92	245	2391
93	246	2376
94	247	2358
95	248	2341
96	249	2324
97	250	2307
98	251	2291
99	252	2274
100	253	2259
101	254	2239
102	255	2223
103	256	2208
104	257	2193
105	258	2178
106	259	2164
107	260	2151
108	261	2139
109	262	2127
110	263	2114
111	265	2101
112	266	2088
113	267	2076
114	268	2063
115	269	2050
116	270	2038
117	271	2026
118	272	2013
119	273	2002
120	274	1991
121	275	1981
122	275	1967
123	276	1956
124	278	1946
125	279	1935
126	280	1925
127	280	1913
128	281	1903
129	282	1893
130	284	1884
131	285	1874
132	286	1865
133	287	1856
134	288	1847
135	289	1838
136	290	1829
137	291	1818
138	292	1810
139	293	1801
140	294	1792
141	295	1783
142	296	1775
143	297	1766
144	298	1758
145	299	1750
146	300	1742
147	301	1734
148	302	1726
149	303	1719
150	304	1712
151	305	1704
152	306	1697
153	307	1690
154	308	1684
155	310	1677
156	311	1669
157	312	1662
158	313	1655
159	314	1648
